formula_family,n_records
Single-cation (MA),15
All-inorganic (CsPbX3),11
Triple-cation (Cs/FA/MA),7
2D/quasi-2D,6
Double-cation (FA/MA),6
Double-cation (Cs/FA),5
Single-cation (FA),4
Other/complex,4
Non-Pb (Sn-based),2
Non-Pb (Bi-based),1
