title,year,doi,openalex_id,cited_by,is_oa,pdf_url,landing_url,venue,doi_key,title_norm,citation_score,recency_score,kw_score_raw,kw_score,gold_probability,cluster3_probability,ml_match_gold,ml_match_cluster,ml_score_gold,ml_score_cluster3,ml_score_total,final_score
Perovskite Materials for Light‐Emitting Diodes and Lasers,2016,10.1002/adma.201600669,https://openalex.org/W2396261957,1429,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.201600669,https://doi.org/10.1002/adma.201600669,Advanced Materials,10.1002adma.201600669,perovskite materials for light emitting diodes and lasers,36.32714861626977,0.1,0.0,0.0,0.662859870144033,0.1337584146978102,doi_key,doi_key,7.954318441728397,1.0700673175824815,9.024385759310878,45.45153437558065
Surface passivation engineering strategy to fully-inorganic cubic CsPbI3 perovskites for high-performance solar cells,2018,10.1038/s41467-018-03169-0,https://openalex.org/W2789697021,656,True,https://www.nature.com/articles/s41467-018-03169-0.pdf,https://doi.org/10.1038/s41467-018-03169-0,Nature Communications,10.1038s41467-018-03169-0,surface passivation engineering strategy to fully inorganic cubic cspbi3 perovskites for high performance solar cells,32.43842009242305,0.3,0.0,0.0,0.7861478332613213,0.3970349884280971,doi_key,doi_key,9.433773999135855,3.1762799074247767,12.610053906560632,45.34847399898368
Color-stable highly luminescent sky-blue perovskite light-emitting diodes,2018,10.1038/s41467-018-05909-8,https://openalex.org/W2888115472,711,True,https://www.nature.com/articles/s41467-018-05909-8.pdf,https://doi.org/10.1038/s41467-018-05909-8,Nature Communications,10.1038s41467-018-05909-8,color stable highly luminescent sky blue perovskite light emitting diodes,32.84038955705988,0.3,0.0,0.0,0.7955712161710041,0.3001475529730011,doi_key,doi_key,9.54685459405205,2.401180423784009,11.948035017836059,45.08842457489594
"Humidity Sensors Principle, Mechanism, and Fabrication Technologies: A Comprehensive Review",2014,10.3390/s140507881,https://openalex.org/W2001086979,1218,True,https://www.mdpi.com/1424-8220/14/5/7881/pdf?version=1403353770,https://doi.org/10.3390/s140507881,Sensors,10.3390s140507881,humidity sensors principle mechanism and fabrication technologies a comprehensive review,35.528930647406355,0.0,0.0,0.0,0.6619444478074218,0.195812988913869,doi_key,doi_key,7.943333373689061,1.566503911310952,9.509837285000014,45.03876793240637
A molecular nematic liquid crystalline material for high-performance organic photovoltaics,2015,10.1038/ncomms7013,https://openalex.org/W2085915663,617,True,https://www.nature.com/articles/ncomms7013.pdf,https://doi.org/10.1038/ncomms7013,Nature Communications,10.1038ncomms7013,a molecular nematic liquid crystalline material for high performance organic photovoltaics,32.132442287288455,0.0,0.0,0.0,0.7567668950929057,0.4719281117011434,doi_key,doi_key,9.081202741114868,3.7754248936091472,12.856627634724015,44.98906992201247
Highly efficient all-inorganic perovskite solar cells with suppressed non-radiative recombination by a Lewis base,2020,10.1038/s41467-019-13909-5,https://openalex.org/W2999691245,632,True,https://www.nature.com/articles/s41467-019-13909-5.pdf,https://doi.org/10.1038/s41467-019-13909-5,Nature Communications,10.1038s41467-019-13909-5,highly efficient all inorganic perovskite solar cells with suppressed non radiative recombination by a lewis base,32.25235211072088,0.5,0.0,0.0,0.778143802678151,0.3478583389693905,doi_key,doi_key,9.337725632137811,2.782866711755124,12.120592343892936,44.872944454613815
Solvent-controlled growth of inorganic perovskite films in dry environment for efficient and stable solar cells,2018,10.1038/s41467-018-04636-4,https://openalex.org/W2806673750,628,True,https://www.nature.com/articles/s41467-018-04636-4.pdf,https://doi.org/10.1038/s41467-018-04636-4,Nature Communications,10.1038s41467-018-04636-4,solvent controlled growth of inorganic perovskite films in dry environment for efficient and stable solar cells,32.22065628350221,0.3,0.0,0.0,0.7796999715120851,0.3668788740956193,doi_key,doi_key,9.356399658145023,2.9350309927649545,12.291430650909977,44.81208693441218
Solution-processed perovskite light emitting diodes with efficiency exceeding 15% through additive-controlled nanostructure tailoring,2018,10.1038/s41467-018-06425-5,https://openalex.org/W2891879216,482,True,https://www.nature.com/articles/s41467-018-06425-5.pdf,https://doi.org/10.1038/s41467-018-06425-5,Nature Communications,10.1038s41467-018-06425-5,solution processed perovskite light emitting diodes with efficiency exceeding 15 through additive controlled nanostructure tailoring,30.90008326826286,0.3,1.0,2.0,0.725318108060538,0.3017453746107885,doi_key,doi_key,8.703817296726456,2.413962996886308,11.117780293612764,44.317863561875626
Sn(IV)-free tin perovskite films realized by in situ Sn(0) nanoparticle treatment of the precursor solution,2020,10.1038/s41467-020-16726-3,https://openalex.org/W3034736206,277,True,https://www.nature.com/articles/s41467-020-16726-3.pdf,https://doi.org/10.1038/s41467-020-16726-3,Nature Communications,10.1038s41467-020-16726-3,sn iv free tin perovskite films realized by in situ sn 0 nanoparticle treatment of the precursor solution,28.138105568453184,0.5,3.0,6.0,0.5674650816478817,0.3442513189709164,doi_key,doi_key,6.80958097977458,2.754010551767331,9.563591531541912,44.201697099995094
End-to-end design of wearable sensors,2022,10.1038/s41578-022-00460-x,https://openalex.org/W4286560842,1034,True,https://www.nature.com/articles/s41578-022-00460-x.pdf,https://doi.org/10.1038/s41578-022-00460-x,Nature Reviews Materials,10.1038s41578-022-00460-x,end to end design of wearable sensors,34.710783528497345,0.7,0.0,0.0,0.6028561286602656,0.1809414785205545,doi_key,doi_key,7.234273543923187,1.447531828164436,8.681805372087624,44.09258890058497
